categoria,serie,tipo,fecha,valor,porcentaje
generacion,Otras renovables,Otras renovables,2023-01-07 23:00:00+00:00,6273.334,0.0043801435223368365
generacion,Eólica,Eólica,2023-01-07 23:00:00+00:00,376801.14,0.26308866586413787
generacion,Hidroeólica,Hidroeólica,2023-01-07 23:00:00+00:00,11.569,8.077663393964815e-06
generacion,Hidráulica,Hidráulica,2023-01-07 23:00:00+00:00,83287.381,0.05815259993801543
generacion,Residuos renovables,Residuos renovables,2023-01-07 23:00:00+00:00,2444.483,0.0017067776684475142
generacion,Residuos no renovables,Residuos no renovables,2023-01-07 23:00:00+00:00,3681.895,0.002570758791764377
generacion,Motores diésel,Motores diésel,2023-01-07 23:00:00+00:00,5514.494,0.00385030912957374
generacion,Cogeneración,Cogeneración,2023-01-07 23:00:00+00:00,29016.272,0.02025963161584633
generacion,Nuclear,Nuclear,2023-01-07 23:00:00+00:00,120439.736,0.08409297663289707
generacion,Carbón,Carbón,2023-01-07 23:00:00+00:00,6229.381,0.0043494548250289505
generacion,Generación total,Generación total,2023-01-07 23:00:00+00:00,716110.553,1.0
generacion,Turbina de vapor,Turbina de vapor,2023-01-08 23:00:00+00:00,4145.646,0.0026990634438409807
generacion,Solar térmica,Solar térmica,2023-01-08 23:00:00+00:00,1020.745,0.0006645660326480993
generacion,Residuos renovables,Residuos renovables,2023-01-08 23:00:00+00:00,2363.84,0.001539001190909466
generacion,Hidroeólica,Hidroeólica,2023-01-08 23:00:00+00:00,5.332,3.471450838436304e-06
generacion,Residuos no renovables,Residuos no renovables,2023-01-08 23:00:00+00:00,3778.506,0.002460033349913092
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-08 23:00:00+00:00,50037.428,0.03257735772389276
generacion,Nuclear,Nuclear,2023-01-08 23:00:00+00:00,149850.166,0.09756141867976732
generacion,Carbón,Carbón,2023-01-08 23:00:00+00:00,7622.605,0.004962771665101043
generacion,Eólica,Eólica,2023-01-08 23:00:00+00:00,302495.66,0.1969427630401994
generacion,Turbina de gas,Turbina de gas,2023-01-08 23:00:00+00:00,2292.069,0.001492273978207776
generacion,Cogeneración,Cogeneración,2023-01-08 23:00:00+00:00,43708.73,0.028456996887750573
generacion,Motores diésel,Motores diésel,2023-01-08 23:00:00+00:00,6237.89,0.00406123939808204
generacion,Ciclo combinado,Ciclo combinado,2023-01-08 23:00:00+00:00,81198.673,0.05286519157272417
generacion,Otras renovables,Otras renovables,2023-01-08 23:00:00+00:00,9299.795,0.006054722646293276
generacion,Generación total,Generación total,2023-01-08 23:00:00+00:00,767978.613,1.0
generacion,Hidráulica,Hidráulica,2023-01-08 23:00:00+00:00,103921.528,0.06765912893983156
generacion,Residuos no renovables,Residuos no renovables,2023-01-09 23:00:00+00:00,3870.1215,0.0025327962338641138
generacion,Eólica,Eólica,2023-01-09 23:00:00+00:00,211448.48,0.1383821964763358
generacion,Hidráulica,Hidráulica,2023-01-09 23:00:00+00:00,150833.316,0.09871267729089016
generacion,Generación total,Generación total,2023-01-09 23:00:00+00:00,764001.748,1.0
generacion,Turbina de vapor,Turbina de vapor,2023-01-09 23:00:00+00:00,4154.078,0.0027186312144406245
generacion,Nuclear,Nuclear,2023-01-09 23:00:00+00:00,170291.53,0.11144708140118023
generacion,Ciclo combinado,Ciclo combinado,2023-01-09 23:00:00+00:00,87337.941,0.057158207575200466
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-09 23:00:00+00:00,46165.713,0.030213093831821962
generacion,Residuos renovables,Residuos renovables,2023-01-09 23:00:00+00:00,2401.3995,0.0015715929356748014
generacion,Hidroeólica,Hidroeólica,2023-01-09 23:00:00+00:00,24.387,1.596004201812376e-05
generacion,Otras renovables,Otras renovables,2023-01-09 23:00:00+00:00,11497.726,0.007524672574440235
generacion,Cogeneración,Cogeneración,2023-01-09 23:00:00+00:00,50284.501,0.032908629549365895
generacion,Solar térmica,Solar térmica,2023-01-09 23:00:00+00:00,2376.949,0.0015555913361601365
generacion,Turbina de gas,Turbina de gas,2023-01-09 23:00:00+00:00,2156.51,0.0014113253049782288
generacion,Motores diésel,Motores diésel,2023-01-09 23:00:00+00:00,6690.714,0.004378729510446093
generacion,Carbón,Carbón,2023-01-09 23:00:00+00:00,14468.382,0.009468814723183066
generacion,Carbón,Carbón,2023-01-10 23:00:00+00:00,15832.331,0.010614723036597338
generacion,Cogeneración,Cogeneración,2023-01-10 23:00:00+00:00,47316.356,0.0317230617551541
generacion,Turbina de gas,Turbina de gas,2023-01-10 23:00:00+00:00,1861.368,0.001247946735650304
